folio,estab,sexoe,edade,prome,curso,ccon1,ccon2,ccon4,ccon5,cemo1,cemo2,cemo3,cemo4,cemo5,cemo6,ccog1,ccog2,ccog3,ccog4,ccog5,clas1,clas2,clas3,clas4,clas5,clas6,clas7,clas8,clno1,clno2,clno3,clno4,clnv1,clnv2,clnv3,clpa1,clpa2,clpa3
135,1,0,11,5.6,1,4,5,3,3,5,1,3,5,5,5,5,5,4,3,5,4,4,5,5,3,4,5,5,4,5,4,4,4,4,4,4,4,5
136,1,0,11,6.6,2,5,3,5,1,5,1,5,5,5,5,3,5,3,4,3,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,3
137,2,1,14,5.5,4,3,1,4,1,3,3,3,3,4,3,1,3,4,1,1,4,4,5,4,4,3,3,3,4,4,5,4,3,4,5,2,2,3
138,2,1,10,5.8,1,4,3,3,1,3,3,2,3,3,3,3,2,1,2,1,3,4,3,4,4,3,4,3,4,4,4,5,4,4,4,3,3,3
139,2,1,13,5.3,3,4,2,5,1,5,2,1,3,4,5,1,3,2,3,1,2,3,4,5,5,5,3,3,3,3,4,2,4,5,5,4,4,4
140,1,0,11,4.9,1,3,3,5,1,5,3,2,1,1,4,1,1,1,1,1,1,3,3,3,5,3,3,3,3,1,5,5,3,3,3,1,4,3
141,2,0,14,5.4,4,3,3,3,3,5,3,2,3,3,4,1,3,5,3,1,2,2,3,3,3,3,2,2,1,3,3,3,3,2,2,4,4,3
142,2,0,14,5,4,5,1,4,2,2,3,5,3,4,3,5,3,2,1,4,2,4,3,3,2,4,4,2,4,5,4,3,5,3,3,2,4,5
143,1,0,12,5.2,2,4,2,4,3,4,3,4,3,4,5,3,3,2,3,4,5,4,4,4,4,5,5,4,4,5,4,4,5,5,4,4,4,5
144,1,0,15,5,4,3,1,5,1,3,5,3,3,4,5,1,3,1,1,1,5,4,5,5,4,4,5,4,5,5,1,4,5,4,5,1,4,5
145,1,0,12,5.2,2,3,5,3,3,3,5,3,1,1,1,2,3,2,3,1,5,1,4,4,1,1,4,3,4,3,1,4,4,4,4,3,1,3
146,1,0,10,5.3,1,5,4,4,1,5,1,5,5,5,3,4,5,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5
147,1,0,12,5.9,3,1,3,3,1,1,5,2,3,1,5,1,1,1,1,1,2,2,3,4,3,4,2,1,3,4,2,3,4,4,3,2,1,5
148,1,1,13,5.3,4,3,3,3,1,3,3,4,3,3,2,1,1,3,3,1,3,3,3,3,2,3,2,3,2,4,2,3,4,4,2,3,3,3
149,1,1,13,5.8,4,4,2,5,1,5,3,4,4,4,3,3,2,3,3,3,4,5,5,5,4,5,5,4,5,4,4,4,5,5,5,3,4,4
150,1,1,11,5.5,2,5,1,3,1,5,3,5,5,5,5,1,3,5,3,2,5,2,5,5,2,3,5,3,4,3,4,2,3,3,5,3,3,5
151,2,1,13,6.1,3,5,1,5,1,5,3,4,4,2,5,2,3,3,3,1,4,3,5,5,4,4,5,2,5,4,5,4,4,3,3,4,3,4
152,1,1,13,6.6,3,5,5,5,1,3,4,3,4,3,3,4,3,4,5,2,4,5,5,5,1,5,5,3,4,4,4,4,5,2,5,4,5,5
153,2,1,14,5.5,4,3,2,4,2,4,2,3,5,3,4,3,2,3,2,2,2,2,3,2,3,2,2,1,5,3,4,5,4,3,4,4,3,4
154,2,0,13,4.8,4,4,1,3,1,3,5,4,3,4,1,5,4,4,2,2,1,3,1,2,2,1,1,1,2,1,4,1,1,1,2,2,1,4
155,1,1,12,5.4,2,5,1,5,3,4,1,3,4,5,5,3,1,1,3,1,5,5,5,5,5,5,5,3,5,3,2,3,5,4,5,4,5,4
156,1,1,12,5.3,2,5,1,5,1,1,2,4,5,4,5,5,5,1,1,5,5,5,3,1,3,5,5,5,1,5,5,5,5,5,5,5,5,5
157,1,1,12,4.8,2,4,3,3,3,4,4,1,3,4,1,2,3,2,3,1,1,1,1,3,3,2,3,1,1,1,1,1,1,1,3,1,1,1
158,1,1,13,6.6,4,4,2,4,1,4,4,3,3,3,3,5,3,3,5,3,2,1,3,4,3,2,3,1,2,3,3,2,3,3,3,3,4,3
159,1,0,13,5.1,4,3,2,3,2,3,3,3,3,3,3,3,2,1,1,1,5,5,5,5,5,3,5,5,4,4,3,3,5,3,3,4,3,3
160,2,0,12,6,3,5,2,5,1,4,3,4,4,5,3,2,1,3,3,4,4,3,4,4,4,3,3,2,4,3,5,5,3,4,5,4,1,4
161,1,1,12,6.4,2,5,1,4,1,4,3,4,3,4,4,3,4,3,5,4,4,4,4,5,3,4,4,4,4,5,4,1,3,5,5,5,4,4
162,2,0,14,4.7,4,4,2,5,1,3,5,3,1,3,1,3,1,2,3,1,3,5,5,4,5,4,4,5,4,5,3,3,5,5,3,4,2,3
163,2,0,14,5.2,4,4,2,5,1,3,5,3,4,4,3,4,3,2,5,3,4,3,3,4,4,3,4,3,4,4,5,4,4,4,3,4,3,4
164,2,0,10,5.9,1,4,2,5,1,4,4,3,3,3,4,2,1,3,4,1,5,4,5,5,4,3,5,2,4,4,5,4,5,5,5,4,4,4
165,1,0,12,5.3,2,3,3,2,4,3,3,3,4,5,5,3,2,1,1,1,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5
166,1,0,12,4.9,1,3,3,3,3,2,3,2,2,3,3,2,2,2,2,2,3,4,4,4,3,1,3,4,3,4,3,5,3,1,3,2,3,4
167,2,0,13,5.1,3,3,3,5,1,4,1,2,2,1,4,1,1,2,2,1,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,4,4,5
168,2,1,12,6.1,2,4,1,5,3,2,3,3,3,3,3,1,2,1,2,1,3,5,5,3,4,3,5,3,3,4,4,5,5,4,5,3,5,5
169,2,1,10,5.8,1,3,1,5,1,1,5,1,1,2,1,1,2,1,5,1,3,4,2,5,3,1,3,1,1,1,3,5,2,3,2,5,3,4
170,2,0,13,5.4,3,3,3,4,3,5,5,3,1,3,4,2,4,4,5,4,2,4,5,4,2,1,5,1,3,1,5,5,2,3,4,5,4,3
171,1,0,12,5.4,3,5,3,5,2,4,3,4,4,4,3,3,3,3,3,1,4,4,4,4,4,5,5,5,4,4,4,4,5,4,5,4,4,4
172,1,0,12,6.3,2,4,1,4,2,3,4,3,3,3,4,2,2,1,4,2,5,4,4,5,4,3,4,4,3,4,5,4,5,4,4,3,3,3
173,2,0,10,5.7,1,1,1,5,2,1,1,4,3,3,3,2,1,1,1,1,5,3,3,3,3,2,5,1,3,5,4,5,5,3,1,3,1,1
174,1,0,12,5.2,2,4,2,3,1,2,4,2,2,3,4,1,2,1,2,1,5,3,5,2,1,2,3,1,3,2,3,2,4,5,1,1,3,3
175,2,0,14,5,4,4,3,4,2,5,3,3,4,3,3,3,3,4,2,2,3,3,3,5,2,4,4,2,4,4,4,4,4,5,5,4,3,3
176,2,1,12,,3,4,4,5,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,5,4,4,3,3,4,3,4,4,4,4,4,3,4
177,1,1,12,5.5,2,3,1,3,2,3,5,3,3,4,5,1,2,1,1,2,2,3,5,5,3,4,3,1,5,3,4,5,3,3,3,2,1,4
178,2,0,11,6.2,2,5,1,4,2,5,3,3,4,4,5,1,1,3,4,1,4,4,5,5,3,5,5,4,3,4,5,5,4,5,3,5,5,4
179,1,1,13,5.9,4,5,3,3,1,3,4,5,5,4,5,1,1,1,5,1,5,5,5,5,5,5,5,5,4,5,1,5,5,5,3,5,5,5
180,2,0,13,,3,3,1,5,1,5,3,3,4,2,5,1,3,1,4,1,1,3,5,4,5,4,5,4,4,4,3,4,4,4,3,4,1,4
181,2,0,11,5.8,1,4,2,5,1,3,3,4,4,5,5,1,3,3,1,1,3,3,5,2,3,3,3,3,5,5,5,5,5,4,1,4,2,5
182,1,0,11,5.5,1,3,4,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,4,3,3,4,3,3,3,3,2,3,4,4,4,3,4,3
183,2,1,11,6.8,2,5,1,5,1,5,3,4,4,5,4,5,4,3,5,3,3,4,5,5,5,5,5,5,5,5,5,5,5,4,5,3,3,4
184,1,1,13,6.1,4,3,3,3,2,3,4,1,1,1,3,3,1,1,3,1,2,3,4,3,3,2,3,1,2,1,2,2,3,4,4,3,1,2
185,2,1,11,5.7,1,3,1,5,1,5,1,5,5,5,5,2,2,1,5,1,2,5,1,5,5,5,5,5,3,5,1,1,5,5,3,5,1,5
186,2,0,14,4.8,3,3,2,4,1,5,1,1,3,2,4,3,1,2,1,1,4,1,5,5,5,5,5,5,3,4,4,5,2,5,5,5,5,5
187,2,0,11,5.9,2,4,2,3,2,3,3,5,3,5,4,3,1,3,2,2,2,3,4,3,4,3,4,2,3,4,4,2,4,5,3,2,1,3
188,2,0,13,5.7,4,4,2,4,3,5,2,3,4,3,3,3,3,3,3,2,3,3,4,4,2,3,4,3,3,4,3,2,5,1,5,4,3,3
189,2,0,11,5.7,2,4,3,5,2,5,3,4,3,4,4,3,2,1,2,3,4,4,5,4,5,4,5,5,4,3,2,4,5,5,5,4,4,4
190,1,0,14,5.9,4,4,3,4,2,5,2,3,3,2,3,2,1,1,3,2,5,3,5,4,4,5,4,4,4,5,5,4,5,4,5,4,5,3
191,1,0,13,5.2,3,3,3,3,2,3,5,1,1,2,2,1,1,1,1,1,2,1,4,4,4,3,3,3,3,2,1,2,4,4,3,4,2,2
192,1,0,13,5.2,4,4,2,3,2,3,4,3,3,3,2,4,2,1,1,1,3,3,2,3,1,1,2,1,3,2,3,3,4,5,5,3,2,1
193,1,0,13,5.6,4,4,1,5,1,4,4,3,3,3,3,1,4,1,1,1,4,4,5,5,5,3,5,3,4,4,4,4,4,4,5,2,3,4
194,1,0,13,5.4,4,4,3,4,1,5,2,4,4,4,4,5,1,2,3,2,4,4,5,5,5,5,5,5,5,3,3,4,4,4,5,5,5,5
195,1,0,10,6,1,3,3,2,3,5,3,4,5,5,1,5,3,1,5,3,3,2,3,1,4,4,1,5,3,1,5,5,5,5,2,5,5,3
196,1,0,11,6.1,2,5,2,4,2,4,2,4,4,3,4,3,2,3,4,3,1,1,5,5,5,5,4,3,4,5,1,4,4,5,5,4,3,4
197,2,0,11,5.6,2,4,2,3,4,3,4,3,5,3,3,1,1,1,4,1,2,4,5,4,5,3,5,1,5,3,5,5,5,5,5,1,4,3
198,1,0,14,5.7,4,3,2,4,2,2,5,2,3,3,2,4,1,2,4,1,2,1,3,2,3,2,2,1,4,4,1,3,1,2,2,1,1,1
199,2,0,14,5.1,4,5,3,5,1,3,3,5,3,5,3,4,3,3,4,3,4,4,2,5,5,5,4,5,4,2,3,3,5,3,4,2,3,5
200,1,0,11,5.5,2,4,1,3,1,4,2,3,2,4,5,1,2,1,1,1,3,1,5,5,4,2,5,3,3,5,1,4,5,5,3,1,3,5
201,1,0,14,5.2,4,3,3,3,3,3,1,1,3,1,3,1,1,1,1,1,5,4,4,4,4,4,4,4,2,3,2,2,4,4,4,3,3,3
202,1,0,14,4.8,4,4,3,3,3,5,3,3,1,3,4,1,1,1,3,1,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4
203,1,0,12,5.9,2,5,1,5,1,5,1,4,5,5,5,3,3,4,4,3,5,1,2,3,3,4,3,1,4,5,4,3,5,1,4,1,3,3
204,1,1,10,6,1,4,3,4,1,1,4,1,1,2,1,1,1,1,1,1,1,1,3,4,1,2,5,3,3,2,3,2,3,2,5,2,3,4
205,2,1,11,5.6,2,3,5,5,3,5,1,3,5,3,3,1,1,1,1,1,3,3,5,5,5,3,3,3,3,4,4,4,4,3,5,3,5,3
206,1,1,12,5.5,2,5,2,5,1,4,3,5,4,5,3,5,3,1,5,3,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,3,5
207,2,1,12,6.5,2,5,1,5,1,5,1,5,5,5,3,5,4,3,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,3,3,5,5
208,1,0,13,5.9,3,5,1,4,1,3,4,3,4,3,2,1,2,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
209,1,0,11,5.4,1,3,3,3,2,5,3,3,3,5,3,5,2,1,5,1,3,5,5,4,5,3,4,3,5,3,3,4,5,5,5,3,3,3
210,1,1,12,5.7,2,3,3,3,5,4,5,1,2,4,3,2,1,1,1,1,3,3,3,3,2,4,4,3,3,2,3,1,3,5,1,1,3,4
211,1,1,12,6,2,3,3,1,3,3,4,3,3,2,3,3,1,1,3,1,2,1,3,4,4,4,3,3,1,3,1,1,2,3,5,3,4,3
212,2,0,10,5.9,1,3,4,,2,3,5,2,1,3,3,5,1,1,2,1,3,1,3,2,3,1,4,3,3,4,5,1,5,5,4,1,5,4
213,1,1,13,5.5,4,3,2,2,2,3,3,3,4,3,4,3,2,1,3,2,3,3,3,4,3,3,3,2,3,4,3,4,3,4,4,3,4,3
214,2,1,11,5.5,2,4,1,3,3,3,1,1,5,5,5,3,3,1,3,3,1,3,2,3,1,1,3,3,3,1,4,3,3,3,3,3,3,3
215,1,0,11,5.7,1,4,2,5,2,5,3,5,5,5,5,3,3,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4
216,2,0,10,6.2,1,3,3,2,3,4,5,4,1,3,3,4,1,1,2,2,5,3,5,3,3,3,4,3,3,3,5,2,4,5,3,1,1,3
217,1,0,14,5,4,4,2,3,3,4,3,4,3,4,3,4,3,3,2,3,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,4,5,5
218,1,0,11,6.5,2,5,1,4,1,5,1,5,5,5,5,4,3,2,5,1,4,3,4,5,5,5,4,4,4,5,4,4,4,4,4,4,5,5
219,1,0,12,5.2,2,3,3,3,3,3,4,3,3,3,5,3,2,1,2,2,5,5,5,5,3,3,5,5,5,4,5,5,5,5,5,4,4,5
220,2,0,10,6.1,1,5,3,5,3,3,5,2,5,3,5,1,1,1,1,5,5,4,5,5,4,1,5,4,1,1,5,5,5,1,2,5,1,2
221,1,0,12,5.7,2,3,3,5,1,3,3,3,3,3,3,3,4,3,3,5,3,3,4,3,3,4,4,3,1,2,5,3,4,3,3,3,4,3
222,1,0,14,5.5,4,4,3,3,2,3,3,3,3,4,4,2,2,1,2,2,4,5,4,4,3,3,4,3,3,4,4,4,4,4,5,3,3,3
223,1,1,11,5.6,2,4,3,3,4,4,5,3,4,3,4,1,1,1,3,2,3,4,5,4,4,5,3,1,3,2,3,2,3,3,5,2,3,2
224,1,1,13,5.6,3,5,3,5,1,3,3,2,3,3,3,4,4,3,3,2,1,1,3,3,2,3,2,1,4,2,2,2,1,1,4,2,2,3
225,1,1,11,5,2,4,3,4,4,5,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,2,4,3,5,4,4,5,4,3,4,3,4,3
226,2,0,13,6.3,4,4,3,4,3,5,3,3,5,4,5,4,1,1,2,1,2,4,5,3,1,3,4,1,2,1,1,3,2,1,1,3,2,2
227,1,1,12,6.2,2,5,1,5,1,4,3,5,5,5,5,2,4,2,4,2,5,4,5,5,4,4,4,3,5,3,4,4,5,5,5,1,2,5
228,1,1,11,6.2,2,5,1,4,1,4,1,4,5,4,4,4,3,3,5,2,5,5,4,5,3,4,5,1,4,5,5,5,5,5,5,4,3,4
229,1,1,14,5.5,4,3,2,5,1,3,3,1,3,1,5,4,1,1,1,1,3,5,5,4,3,5,5,5,4,4,3,3,5,4,5,3,2,4
230,2,0,13,5.7,4,5,1,4,3,3,3,3,1,3,1,4,3,1,3,1,4,4,4,4,4,4,5,5,3,4,3,3,4,5,1,3,4,4
231,1,1,11,6.5,2,4,1,5,1,4,3,5,4,4,5,4,2,3,4,2,4,4,4,4,4,4,4,3,3,5,4,4,4,4,4,3,4,4
232,2,0,13,5.1,3,4,2,4,1,2,3,2,3,3,2,3,3,1,3,3,2,3,2,4,4,2,4,1,3,4,1,4,3,4,4,2,1,3
233,2,0,14,5.8,4,4,3,5,2,5,4,3,4,5,3,1,2,5,3,1,5,5,5,5,4,3,5,5,3,4,5,2,4,5,5,4,3,4
234,2,0,10,,1,5,1,5,1,5,1,5,5,5,5,5,3,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
235,1,0,11,5,2,4,2,5,3,3,4,2,3,3,5,5,2,4,4,5,4,5,5,5,5,3,5,4,3,4,5,5,5,5,5,1,3,3
236,1,0,12,6.1,3,4,3,3,1,3,3,3,1,3,3,2,1,1,3,1,4,3,4,4,4,4,4,3,3,3,3,4,4,3,5,3,3,3
237,2,0,13,5.2,4,3,2,4,2,3,5,2,1,3,4,1,3,1,1,1,2,5,5,5,4,3,4,3,3,4,4,3,5,5,4,4,2,4
238,1,0,13,5.9,4,4,3,3,2,5,3,3,2,3,4,3,1,1,4,2,4,3,3,3,2,4,3,4,3,4,2,3,5,5,5,4,3,4
239,1,0,11,4.8,2,3,3,1,4,5,3,1,3,2,5,4,1,1,3,1,5,4,4,4,3,1,3,4,4,3,1,1,5,5,3,3,3,5
240,2,1,11,6.3,1,5,1,5,1,5,1,4,5,3,4,5,2,3,4,2,3,5,5,5,5,4,5,3,4,5,5,4,5,4,3,4,4,5
241,1,1,11,5.6,2,3,1,4,3,3,1,3,5,3,5,3,2,1,3,2,3,3,4,5,4,4,3,2,4,4,5,5,4,3,5,4,3,4
242,1,0,13,6.4,3,5,1,5,1,4,2,4,5,4,3,4,5,1,4,5,1,5,5,5,5,5,4,5,2,4,5,5,5,4,4,2,4,5
243,1,0,16,5.3,4,3,3,2,3,1,5,,1,1,2,1,1,1,3,1,3,3,4,4,3,1,3,2,4,3,3,3,4,4,3,3,3,3
244,2,0,10,5.9,1,3,1,4,3,5,3,3,4,3,5,3,2,3,3,3,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,4,5,5
245,2,0,13,5.2,3,4,3,4,1,3,4,3,2,3,3,1,1,1,2,2,3,3,3,4,4,3,4,4,3,4,2,4,3,3,4,3,3,4
246,1,0,13,4.8,2,4,3,3,3,5,2,3,4,4,4,3,3,3,2,2,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4
247,1,0,13,5.5,3,4,3,3,2,3,3,3,3,3,3,4,3,2,3,3,3,3,5,3,5,4,3,3,2,3,4,4,3,3,3,3,3,3
248,1,0,12,6.1,3,4,3,4,3,4,1,4,4,5,4,5,3,3,3,1,3,3,4,5,4,4,3,4,5,5,5,5,4,3,3,1,3,1
249,1,0,12,4.9,2,3,1,5,1,2,5,3,1,4,2,1,3,1,1,1,5,1,3,5,2,5,5,5,5,5,3,4,5,5,3,2,5,3
250,2,1,11,6.4,1,5,2,5,1,5,1,5,5,5,5,3,3,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5
251,2,1,11,6,2,4,3,4,3,3,4,3,4,4,3,4,3,3,3,3,3,4,4,3,4,4,3,3,3,3,3,3,4,3,3,2,3,3
252,1,1,12,5,3,3,4,3,1,5,3,3,4,3,4,1,1,2,1,3,2,4,4,5,4,3,4,3,2,3,4,5,3,2,4,5,3,3
253,2,1,14,5.9,4,4,2,4,1,4,3,3,5,3,4,3,3,2,4,1,2,4,3,5,4,4,5,3,4,3,3,2,5,4,4,3,4,5
254,2,1,11,5.6,2,3,5,5,3,2,5,1,2,3,5,1,1,1,1,1,1,1,5,5,1,2,5,1,2,3,3,3,5,5,3,3,1,5
255,2,1,13,5.1,4,3,3,2,3,5,2,3,3,4,5,4,1,2,3,2,2,3,4,4,1,3,4,1,1,3,3,2,4,4,3,2,2,3
256,1,1,13,3.7,3,3,2,3,3,3,3,2,3,3,1,2,3,1,1,1,3,3,5,3,1,1,4,1,3,4,4,4,5,3,4,1,1,4
257,2,0,12,5.7,3,4,2,4,2,5,1,5,5,5,5,3,3,4,5,2,4,2,4,5,3,5,4,5,2,4,4,5,3,4,3,4,5,4
258,1,0,12,5.7,2,5,4,3,3,5,1,5,5,4,5,5,4,2,5,5,5,3,5,5,4,5,4,5,5,4,5,5,5,4,1,5,3,5
259,2,0,11,6.1,1,5,1,5,1,4,3,3,4,3,2,1,3,1,4,3,4,5,5,3,5,4,4,5,1,1,3,1,4,4,3,4,4,5
260,2,0,10,6.1,1,4,2,4,2,5,3,2,4,5,4,5,1,3,2,1,4,4,3,5,4,4,4,3,4,3,4,3,5,5,5,2,3,4
261,2,0,12,5.4,3,1,5,3,3,2,5,1,3,3,3,1,1,1,1,1,1,2,5,3,1,1,1,1,2,1,1,1,3,5,5,1,1,3
262,2,0,11,5.7,2,4,3,4,2,3,4,4,2,4,5,3,2,4,1,2,4,5,4,5,5,4,5,4,3,3,2,4,5,5,5,1,3,3
263,1,0,11,6.3,2,4,1,5,1,5,2,4,5,4,4,3,2,4,3,3,4,5,5,5,5,5,5,4,4,5,3,4,4,2,3,4,2,4
264,1,0,12,5,3,4,2,5,2,3,3,4,3,4,3,3,3,2,3,3,3,4,5,5,4,4,4,4,4,3,4,3,3,4,5,4,3,4
265,1,1,10,6.4,1,5,1,4,1,4,3,3,3,3,4,3,3,2,3,3,3,3,4,3,3,3,4,3,3,3,3,3,4,4,4,3,4,3
266,1,1,14,4.4,3,3,3,2,5,3,5,3,3,3,2,2,1,1,1,1,5,1,3,3,1,2,3,1,2,3,3,3,3,4,4,3,3,3
267,1,1,13,6.5,4,5,1,4,2,4,1,5,5,5,4,5,1,2,5,5,4,2,3,4,5,4,5,3,4,4,5,4,4,4,4,3,4,4
268,1,0,11,3.6,1,3,2,2,5,1,5,2,1,1,1,1,1,1,1,1,1,3,2,3,2,3,2,1,1,1,1,2,2,3,2,3,1,1
269,1,1,15,4.9,4,3,1,3,1,3,3,3,3,3,2,3,3,1,3,2,4,3,4,5,3,4,4,3,4,4,4,4,4,3,4,3,2,2
270,1,0,13,6.3,3,4,5,5,2,3,4,3,3,3,1,2,1,2,3,1,4,3,4,5,3,4,4,3,3,4,5,4,3,3,3,1,2,3
